Rank_in_2022,Name,Revenue(in millions),Revenue(% change),Profits(in millions),Profits(% change), Assets,Market_Value,Change in Rank of top 1000 companies,Employees,Change in Rank (500 only)
330,Mohawk Industries,11201,17.30%,1033,100.40%,14225,"8,081.80",-9,43000,-9
331,Conagra Brands,11185,1.20%,1299,54.60%,22196,"16,103.50",-48,18600,-48
332,Norfolk Southern,11142,13.80%,3005,49.30%,38493,"68,389.30",-25,18100,-25
333,AES,11141,15.30%,-409,-989.10%,32963,"17,172.10",-20,8450,-20
334,AGCO,11138,21.70%,897,110.00%,9182,"10,885.30",-3,23300,-3
335,Caesars Entertainment,11110,219.80%,-1019,,38031,"16,564.60",340,49000,-
336,Equitable Holdings,11036,-11.10%,-439,,292262,"12,041.20",-92,10000,-92
337,Advance Auto Parts,10998,8.80%,616,25.00%,12194,"12,644.80",-36,54500,-36
338,Biogen,10982,-18.30%,1556,-61.10%,23877,"30,950.40",-110,9610,-110
339,Auto-Owners Insurance,10980,24.00%,1318,59.00%,32487,,2,6441,2
340,Booking Holdings,10958,61.20%,1165,1874.60%,23641,"96,022.70",84,20199,84
341,Amphenol,10876,26.50%,1591,32.20%,14678,"45,130.10",8,90000,8
342,Quest Diagnostics,10788,14.30%,1995,39.40%,13611,"16,348.60",-18,44500,-18
343,FirstEnergy,10758,3.10%,1283,18.90%,45432,"26,181.60",-49,12395,-49
344,DCP Midstream,10707,69.90%,391,,13380,"6,993.20",98,1788,98
345,Ally Financial,10690,-0.80%,3060,182.00%,182114,"14,411.60",-58,10500,-58
346,Delek US Holdings,10648,45.80%,-204,,6728,"1,500.20",51,3312,51
347,Williams,10627,37.70%,1517,619.00%,47612,"40,670.40",32,4783,32
348,Newell Brands,10589,12.80%,572,,14179,"8,902.40",-23,32000,-23
349,Eastman Chemical,10476,23.60%,857,79.30%,15519,"14,450.10",6,14000,6
350,Air Products & Chemicals,10323,16.60%,2099,11.30%,26859,"55,409.40",-10,20750,-10
351,Thrivent Financial for Lutherans,10313,26.50%,2530,297.20%,116525,,18,3256,18
352,Molson Coors Beverage,10280,6.50%,1006,,27619,"11,631.80",-38,16300,-38
353,Interpublic Group,10241,13.00%,953,171.40%,19909,"13,965.90",-19,55600,-19
354,Weyerhaeuser,10201,35.40%,2607,227.10%,17652,"28,315.00",33,9214,33
355,Altice USA,10091,2.00%,990,127.00%,33215,"5,674.10",-49,9000,-49
356,Raymond James Financial,9910,21.30%,1403,71.50%,61891,"22,817.50",11,15000,11
357,EMCOR Group,9904,12.60%,384,188.50%,5441,"5,931.80",-13,34000,-13
358,Eversource Energy,9863,10.80%,1221,1.30%,48492,"30,403.20",-20,9227,-20
359,Yum China Holdings,9853,19.20%,990,26.30%,13223,"17,679.00",4,298500,4
360,Asbury Automotive Group,9838,37.90%,532,109.30%,8003,"3,714.80",45,14200,45
361,Owens & Minor,9785,12.40%,222,641.80%,3537,"3,375.60",-16,17300,-16
362,Public Service Enterprise Group,9722,1.20%,-648,-134.00%,48999,"35,145.50",-44,12684,-44
363,United Rentals,9716,13.90%,1386,55.70%,20292,"25,643.30",-11,20400,-11
364,MGM Resorts International,9680,87.50%,1254,,40899,"18,257.90",153,60500,-
365,Ryder System,9663,14.80%,519,,13834,"4,055.40",-8,42800,-8
366,Intuit,9633,25.40%,2062,12.90%,15516,"135,987.60",14,17350,14
367,Cincinnati Financial,9630,27.80%,2946,142.20%,31387,"21,813.30",19,5166,19
368,Erie Insurance Group,9620,11.00%,1130,-3.70%,27297,,-21,5805,-21
369,Univar Solutions,9536,15.40%,461,770.70%,6778,"5,459.80",-7,9450,-7
370,Huntington Ingalls Industries,9524,1.70%,544,-21.80%,10627,"7,991.00",-43,44000,-43
371,W.R. Berkley,9456,16.70%,1023,92.70%,32086,"17,658.80",1,7681,1
372,Western & Southern Financial Group,9442,17.20%,361,76.70%,62877,,2,2538,2
373,Insight Enterprises,9436,13.10%,219,27.10%,4689,"3,745.10",-13,11624,-13
374,News Corp.,9358,3.90%,330,,16771,"13,127.70",-37,24000,-37
375,American Tower,9357,16.40%,2568,51.90%,69888,"114,527.40",,6378,
376,Old Republic International,9342,30.40%,1534,174.70%,24982,"7,972.80",25,9600,25
377,Burlington Stores,9322,61.70%,409,,7090,"12,112.80",94,38599,94
378,Avis Budget Group,9313,72.40%,1285,,22600,"14,157.00",120,18500,120
379,ODP,9267,-4.60%,-208,,4865,"2,222.20",-67,26000,-67
380,VF,9239,-21.00%,408,-40.00%,13754,"22,112.90",-117,33600,-117
381,Bed Bath & Beyond,9233,-17.30%,-151,,6457,"2,170.50",-101,37600,-101
382,Seaboard,9229,29.50%,570,101.40%,7503,"4,881.60",24,13200,24
383,First American Financial,9221,30.10%,1241,78.20%,16451,"7,087.20",26,22233,26
384,Intercontinental Exchange,9168,11.20%,4058,94.30%,193502,"74,044.80",-19,8858,-19
385,PVH,9155,28.40%,952,,12397,"5,210.00",19,25000,19
386,Apollo Global Management,9124,332.20%,1839,1073.90%,30502,"37,194.00",552,2153,
387,Jefferies Financial Group,9040,30.00%,1674,116.00%,60404,"7,933.90",32,5556,32
388,Hershey,8971,10.10%,1478,15.50%,10412,"44,461.50",-18,17805,-18
389,NVR,8970,18.60%,1237,37.20%,5835,"15,010.50",-6,6600,-6
390,Foot Locker,8958,18.70%,893,176.50%,8135,"2,850.00",-5,33244,-5
391,Dana,8945,25.90%,197,,7632,"2,544.40",17,40200,17
392,SpartanNash,8931,-4.50%,74,-2.80%,2207,"1,185.10",-63,13300,-63
393,Olin,8911,54.80%,1297,,8518,"8,062.00",79,7750,79
394,Chewy,8891,24.40%,-74,,2086,"17,147.30",9,21300,9
395,Jackson Financial,8848,-,3183,,375484,"3,895.10",,3150,
396,Activision Blizzard,8803,8.90%,2699,22.80%,25056,"62,559.70",-23,9800,-23
397,Toll Brothers,8790,24.20%,834,86.70%,11538,"5,515.40",14,5100,14
398,Carlyle Group,8782,199.30%,2975,754.30%,21250,"17,427.50",360,1850,
399,Graybar Electric,8767,20.70%,262,115.40%,3069,,,8800,
400,Ovintiv,8658,42.20%,1416,,14055,"13,987.50",58,1713,58
401,UFP Industries,8636,67.60%,536,117.10%,3245,"4,790.50",117,15000,
402,Ulta Beauty,8631,40.30%,986,460.70%,4764,"20,837.80",49,28500,49
403,Constellation Brands,8615,3.30%,1998,,27105,"43,763.50",-44,9300,-44
404,Expedia Group,8598,65.40%,12,,21548,"30,476.50",111,14800,
405,CommScope Holding,8587,1.80%,-463,,13260,"1,629.70",-49,30000,-49
406,Celanese,8537,51.00%,1890,-4.80%,11975,"15,434.10",71,8529,71
407,Global Payments,8524,14.80%,966,65.20%,45280,"38,545.60",-13,25000,-13
408,Owens Corning,8498,20.50%,995,,10015,"9,064.70",5,20000,5
409,Campbell Soup,8476,-6.30%,1002,-38.50%,11734,"13,446.90",-74,14100,-74
410,Huntsman,8453,40.30%,1045,1.10%,9392,"8,046.90",50,9000,50
411,Franklin Resources,8426,51.40%,1831,129.20%,24168,"14,019.30",73,10300,73
412,Avery Dennison,8408,20.60%,740,33.10%,7972,"14,327.40",5,36000,5
413,Masco,8375,14.90%,410,-66.50%,5575,"12,062.70",-15,20000,-15
414,CenterPoint Energy,8352,-5.50%,1486,,37679,"19,285.80",-72,9418,-72
415,Fifth Third Bancorp,8329,-0.90%,2770,94.10%,211116,"29,511.30",-57,19112,-57
416,WEC Energy Group,8316,14.80%,1300,8.40%,38989,"31,483.50",-16,6938,-16
417,S&P Global,8297,11.50%,3024,29.30%,15026,"142,343.50",-24,22850,-24
418,FM Global,8275,21.70%,2842,64.10%,32161,,5,5560,5
419,Polaris,8252,16.10%,494,295.80%,5048,"6,264.10",-12,16000,-12
420,Williams-Sonoma,8246,21.60%,1126,65.50%,4626,"10,376.00",5,16600,5
421,Autoliv,8230,10.50%,435,132.70%,7537,"6,691.10",-29,58176,-29
422,Arthur J. Gallagher,8209,17.20%,907,10.70%,33345,"36,598.60",-6,39000,-6
423,Motorola Solutions,8171,10.20%,1245,31.20%,12189,"40,555.90",-28,18700,-28
424,Zillow Group,8147,143.90%,-528,,10696,"12,287.10",268,8005,
425,Opendoor Technologies,8021,210.50%,-662,,9506,"5,364.10",394,2816,
426,J.M. Smucker,8003,2.60%,876,12.40%,16284,"14,686.40",-48,7100,-48
427,Realogy Holdings,7983,28.30%,343,,7210,"1,852.10",18,9748,18
428,Oshkosh,7953,16.00%,409,26.20%,6722,"6,703.70",-6,15000,-6
429,MasTec,7952,25.80%,329,1.90%,7121,"6,657.00",12,27000,12
430,GXO Logistics,7940,-,153,,7271,"8,193.00",,97500,
431,APA,7928,84.00%,973,,13303,"14,332.30",164,2253,
432,Boise Cascade,7926,44.80%,713,307.20%,2573,"2,740.40",61,6130,61
433,Dover,7907,18.30%,1124,64.40%,10404,"22,610.30",-4,25000,-4
434,Genworth Financial,7882,-9.00%,904,407.90%,99171,"1,917.90",-86,2500,-86
435,Bath & Body Works,7882,-33.50%,1334,57.90%,6026,"11,419.90",-178,32850,-178
436,Booz Allen Hamilton Holding,7859,5.30%,609,26.20%,5500,"11,705.40",-45,27700,-45
437,Coinbase Global,7839,513.70%,3624,1024.40%,21274,"41,670.40",,3730,
438,Zimmer Biomet Holdings,7836,11.60%,402,,23456,"26,772.30",-24,19500,-24
439,Westinghouse Air Brake Technologies,7822,3.50%,558,34.70%,18454,"17,819.40",-55,25000,-55
440,Zoetis,7776,16.50%,2037,24.40%,13900,"89,008.90",-9,12100,-9
441,Packaging Corp. of America,7730,16.10%,841,82.50%,7837,"14,628.10",-8,15200,-8
442,LPL Financial Holdings,7721,31.50%,460,-2.70%,7992,"14,608.80",24,5919,24
443,T. Rowe Price,7672,23.60%,3083,29.90%,12509,"34,442.60",4,7529,4
444,Fortune Brands Home & Security,7656,25.70%,772,39.60%,7936,"9,830.70",12,28056,12
445,Casey's General Stores,7654,-5.60%,313,18.60%,4460,"7,354.40",-74,27583,-74
446,A-Mark Precious Metals,7613,39.40%,160,423.20%,1192,890.5,49,347,49
447,Hess,7583,57.80%,559,,20515,"33,155.20",96,1545,
448,Vertex Pharmaceuticals,7574,22.10%,2342,-13.60%,13433,"66,436.90",,3900,
449,KeyCorp,7561,3.10%,2625,95.50%,186346,"20,592.50",-53,16974,-53
450,Chipotle Mexican Grill,7547,26.10%,653,83.50%,6653,"44,347.40",14,97660,14
451,CMS Energy,7538,12.80%,1353,79.20%,28753,"20,292.20",-21,8813,-21
452,Arconic,7504,32.20%,-397,,6580,"2,690.70",24,13900,24
453,Taylor Morrison Home,7501,22.40%,663,172.40%,8728,"3,301.60",-1,3000,-1
454,American Financial Group,7462,-5.70%,1995,172.50%,28931,"12,367.80",-78,6600,-78
455,UGI,7447,13.50%,1467,175.80%,16723,"7,599.10",-19,11300,-19
456,Science Applications International,7394,4.80%,277,32.50%,5746,"5,166.10",-44,25090,-44
457,Avantor,7386,15.50%,573,391.10%,13897,"20,629.10",-19,13500,-19
458,Hanesbrands,7348,10.30%,77,,7071,"5,191.40",-26,58000,-26
459,Clorox,7341,9.20%,710,-24.40%,6334,"17,108.70",-32,9000,-32
460,KBR,7339,27.30%,18,,6199,"7,634.90",10,28000,10
461,TravelCenters of America,7337,51.40%,59,,3509,637.5,79,16540,
462,Hertz Global Holdings,7336,39.50%,366,,19783,"9,508.90",46,23000,
463,Analog Devices,7318,30.60%,1390,13.90%,52322,"86,441.20",18,24700,18
464,Securian Financial Group,7317,6.50%,312,28.10%,75169,,-43,6941,-43
465,Darden Restaurants,7196,-7.80%,629,,10656,"16,980.90",-88,156883,-88
466,Graphic Packaging Holding,7156,9.10%,204,21.90%,10457,"6,154.40",-31,25000,-31
466,NCR,7156,15.30%,97,,11641,"5,474.70",-20,38000,-20
468,Brighthouse Financial,7142,-16.00%,-108,,259840,"3,958.70",-115,1500,-115
469,PPL,7127,-6.30%,-1480,-200.70%,33223,"21,001.90",-87,5607,-87
470,Cintas,7116,0.40%,1111,26.80%,8237,"43,566.70",-60,40000,-60
471,Xerox Holdings,7038,0.20%,-455,-337.00%,13223,"3,123.30",-56,23300,-56
472,Rockwell Automation,6997,10.50%,1358,32.70%,10702,"32,538.40",-32,24500,-32
473,Citizens Financial Group,6986,-9.00%,2319,119.40%,188409,"19,135.70",-92,17463,-92
474,KLA,6919,19.20%,2078,70.80%,10271,"55,170.90",-6,11425,-6
475,Camping World Holdings,6914,26.90%,279,127.60%,4373,"2,664.60",21,12834,21
476,Ingredion,6894,15.10%,117,-66.40%,6999,"5,814.20",-13,12000,-13
477,Veritiv,6851,8.00%,145,322.80%,2438,"2,008.00",-38,6100,-38
478,Beacon Roofing Supply,6820,-1.80%,243,,5549,"4,175.90",-58,6676,-58
479,Diamondback Energy,6797,141.60%,2182,,22898,"24,320.00",302,870,
480,Victoria's Secret,6785,-,646,,4344,"4,330.40",,24000,
481,Academy Sports and Outdoors,6773,19.10%,671,117.40%,4585,"3,433.50",-6,16508,-6
482,Sanmina,6757,-2.90%,269,92.50%,4207,"2,569.00",-64,33500,-64
483,ON Semiconductor,6740,28.30%,1010,331.10%,9626,"27,078.70",26,31650,
484,Commercial Metals,6730,22.90%,413,47.70%,4639,"5,056.70",8,11089,8
485,EnLink Midstream,6686,71.70%,22,,8483,"4,670.60",145,1073,
486,Southwestern Energy,6667,188.90%,-25,,11848,"7,989.70",407,938,
487,Equinix,6636,10.60%,500,35.30%,27919,"67,280.50",-26,10944,-26
488,Dillard's,6624,49.40%,863,,3246,"4,928.20",97,25350,
489,Regions Financial,6605,-0.80%,2521,130.40%,162938,"20,860.90",-55,19626,-55
490,Yum Brands,6584,16.50%,1575,74.20%,5966,"34,252.90",-12,25650,-12
491,Landstar System,6540,58.10%,382,98.60%,2046,"5,600.00",115,1399,
492,CF Industries Holdings,6538,58.50%,917,189.30%,12375,"21,551.30",117,3003,
493,Northern Trust,6488,3.00%,1545,27.80%,183890,"24,215.10",-50,21100,-50
494,Robert Half International,6461,26.50%,599,95.50%,2952,"12,638.10",25,14600,
495,Compass,6421,72.60%,-494,,1801,"3,358.80",151,4775,
496,Hasbro,6420,17.50%,429,92.70%,10038,"11,383.60",-2,6640,-2
497,Roper Technologies,6416,16.10%,1153,21.40%,23714,"49,868.80",-9,19300,-9
498,ARKO,6413,88.10%,59,348.90%,2942,"1,133.90",183,11236,
499,Frontier Communications,6411,-10.40%, - ,,16481,"6,763.10",-97,15640,-97
500,Ameren,6394,10.40%,990,13.70%,35735,"24,198.70",-31,9116,-31
501,O-I Glass,6357,4.40%,149,-40.20%,8832,"2,058.00",-46,24000,
502,Chemours,6345,27.70%,608,177.60%,7550,"5,015.00",25,6400,
503,Crown Castle International,6340,8.60%,1096,3.80%,39040,"79,937.30",-36,5000,
504,Agilent Technologies,6319,18.40%,1210,68.30%,10705,"39,714.00",-2,17000,
505,McCormick,6318,12.80%,755,1.10%,12906,"26,754.00",-23,14000,
506,Skechers U.S.A.,6310,36.80%,742,652.30%,6491,"6,360.40",52,8950,
507,Watsco,6280,24.20%,419,55.40%,3086,"11,842.60",17,6875,
508,Live Nation Entertainment,6268,236.80%,-651,,14402,"26,425.00",486,16200,
509,Lululemon athletica,6257,42.10%,975,65.60%,4943,"46,717.80",78,29000,
510,ABM Industries,6229,4.00%,126,42000.00%,4436,"3,078.70",-48,124000,
511,Post Holdings,6227,9.30%,167,20737.50%,12415,"4,284.40",-37,10735,
512,Moody's,6218,15.80%,2214,24.50%,14680,"62,548.10",-12,13460,
513,Select Medical Holdings,6205,12.20%,402,55.30%,7360,"3,208.60",-26,43200,
514,Alaska Air Group,6176,73.20%,478,,13951,"7,314.30",147,21691,
515,Big Lots,6151,-0.80%,178,-71.70%,3927,988.1,-66,23350,
516,Amkor Technology,6138,21.50%,643,90.20%,6039,"5,313.00",9,30400,
517,Sinclair Broadcast Group,6134,3.20%,-414,,12541,"2,008.10",-52,11500,
518,RPM International,6106,10.90%,503,65.10%,6253,"10,560.80",-29,15490,
519,M&T Bank,6106,-2.80%,1859,37.40%,155107,"21,875.00",-75,17342,
520,Sprouts Farmers Market,6100,-5.70%,244,-15.10%,2923,"3,546.80",-83,31000,
521,Huntington Bancshares,6080,16.10%,1295,58.50%,174064,"21,123.40",-11,18442,
522,CACI International,6044,5.70%,457,42.30%,6172,"7,051.20",-49,22000,
523,JetBlue Airways,6037,104.20%,-182,,13642,"4,786.90",229,17459,
524,SVB Financial Group,6027,47.70%,1833,51.70%,211478,"32,901.00",89,6567,
525,Fastenal,6011,6.40%,925,7.70%,4299,"34,187.90",-46,18370,
526,GameStop,6011,18.10%,-381,,3499,"12,716.60",-5,22500,
527,Knight-Swift Transportation Holdings,5998,28.30%,743,81.30%,10656,"8,386.00",24,27650,
528,Airbnb,5992,77.40%,-352,,13709,"110,419.90",160,6132,
529,Patterson,5912,7.70%,156,,2752,"3,160.00",-38,7800,
530,Penn National Gaming,5905,65.00%,421,,16872,"7,140.20",129,21973,
531,ServiceNow,5896,30.50%,230,94.10%,10798,"111,378.00",39,16881,
532,Nasdaq,5886,4.60%,1187,27.20%,20115,"29,298.20",-52,5814,
533,Brunswick,5846,34.50%,593,59.20%,5425,"6,197.30",59,18582,
534,Resideo Technologies,5846,15.30%,242,554.10%,5853,"3,455.80",-11,13300,
535,Chesapeake Energy,5809,11.50%, - ,,11009,"11,135.90",-22,1300,
536,Petco Health and Wellness,5807,18.00%,164,,6498,"5,930.20",-5,28495,
537,Kemper,5793,11.30%,-121,-129.40%,14917,"3,606.00",-23,10300,
538,Hilton Worldwide Holdings,5788,34.40%,410,,15441,"42,356.60",58,142000,
539,Cerner,5765,4.70%,556,-28.80%,7434,"27,492.20",-49,25150,
540,Levi Strauss,5764,29.50%,554,,5900,"7,874.70",40,16600,
541,Tapestry,5746,15.80%,834,,8382,"9,807.20",-13,14250,
542,NetApp,5744,6.10%,730,-10.90%,9360,"18,470.50",-45,11000,
543,KB Home,5725,36.90%,565,90.60%,5836,"2,858.10",60,2244,
544,Continental Resources,5719,121.10%,1661,,18591,"22,342.40",274,1254,
545,Intuitive Surgical,5710,31.00%,1705,60.70%,13555,"108,361.90",46,9793,
546,Under Armour,5684,27.00%,360,,4991,"7,712.40",32,12300,
547,MDU Resources Group,5681,2.70%,378,-3.10%,8910,"5,419.30",-61,12826,
548,Silgan Holdings,5677,15.30%,359,16.30%,7771,"5,104.30",-18,15720,
549,Ryerson Holding,5675,63.70%,294,,2366,"1,344.60",127,4000,
550,Ingersoll Rand,5655,15.20%,563,,15155,"20,541.20",-17,16000,
551,Hologic,5632,49.10%,1872,67.80%,8920,"19,305.10",90,6705,
552,Electronic Arts,5629,1.70%,837,-72.50%,13288,"35,577.40",-67,11000,
553,Zebra Technologies,5627,26.50%,837,66.10%,6215,"21,959.10",28,9800,
554,Coty,5616,-16.60%,-201,,13691,"7,540.60",-128,11430,
555,Schneider National,5609,23.20%,405,91.50%,3937,"4,551.60",10,17050,
556,Sonoco Products,5590,6.70%,-86,-141.20%,5073,"6,099.10",-45,20500,
557,Concentrix,5587,-,406,,5046,"8,605.20",,290000,
558,Evergy,5587,13.70%,880,42.30%,28521,"15,512.70",-26,4930,
559,Cornerstone Building Brands,5583,20.90%,666,,5828,"3,088.70",-2,21700,
560,Coca-Cola Consolidated,5563,11.10%,190,9.90%,3446,"4,657.30",-34,15050,
561,Greif,5556,23.10%,391,259.10%,5816,"3,134.00",11,16000,
562,Vulcan Materials,5552,14.30%,671,14.80%,13683,"24,412.70",-23,11912,
563,Ametek,5547,22.20%,990,13.50%,11898,"30,787.30",3,18500,
564,Monster Beverage,5541,20.50%,1378,-2.30%,7805,"42,295.80",-2,3775,
565,Sealed Air,5534,12.90%,507,0.80%,6229,"9,920.70",-31,16500,
566,NOV,5524,-9.30%,-250,,9550,"7,700.20",-109,27043,
567,Las Vegas Sands,5505,52.40%,-961,,20059,"29,696.40",87,44600,
568,Martin Marietta Materials,5493,16.10%,703,-2.60%,14393,"24,015.10",-22,10000,
569,Marathon Oil,5467,77.20%,946,,16994,"18,349.50",164,1531,
570,Mattel,5458,19.10%,903,613.10%,6394,"7,823.30",-7,36300,
571,Microchip Technology,5438,3.10%,349,-38.80%,16479,"41,777.10",-66,19500,
572,Harley-Davidson,5336,31.60%,650,49978.90%,11051,"6,062.90",42,5800,
573,Telephone & Data Systems,5329,2.00%,156,-31.00%,13493,"2,163.40",-61,8800,
574,ADT,5307,-0.10%,-341,,16894,"6,843.00",-70,25000,
575,First Republic Bank,5305,17.70%,1478,38.90%,181087,"29,113.60",-1,6295,
576,Warner Music Group,5301,18.80%,304,,7211,"19,485.70",3,5900,
577,Pool,5296,34.50%,651,77.40%,3230,"16,967.10",47,5650,
578,Old Dominion Freight Line,5256,30.90%,1034,53.80%,4822,"34,307.50",41,23663,
579,Fortive,5255,13.40%,608,-62.30%,16466,"21,877.90",-23,18000,
580,MDC Holdings,5255,34.70%,574,56.10%,4964,"2,692.70",49,2080,
581,NGL Energy Partners,5243,-73.50%,-640,,5947,288.6,-430,997,
582,Edwards Lifesciences,5233,19.30%,1503,82.50%,8503,"73,141.40",7,15700,
583,Hanover Insurance Group,5228,8.30%,419,16.70%,14254,"5,317.90",-41,4400,
584,Syneos Health,5213,18.10%,235,21.80%,8237,"8,436.70",2,27443,
585,Xylem,5195,6.50%,427,68.10%,8276,"15,354.70",-47,16700,
586,Church & Dwight,5190,6.00%,828,5.30%,7997,"24,119.10",-51,5100,
587,American Axle & Manufacturing,5157,9.50%,6,,5636,888.3,-40,18000,
588,Meritage Homes,5141,14.20%,737,74.10%,4808,"2,907.30",-11,1773,
589,Workday,5139,19.00%,29,,10499,"60,583.40",5,15200,
590,Rush Enterprises,5126,8.20%,241,110.10%,3120,"2,788.50",-45,7141,
591,Yellow,5122,13.50%,-109,,2426,360.3,-18,32000,
592,Encompass Health,5122,10.30%,412,45.00%,6865,"7,071.10",-38,35681,
593,Simon Property Group,5117,11.10%,2250,102.20%,33777,"43,197.80",-33,2850,
594,Globe Life,5113,7.90%,745,1.80%,29768,"9,977.30",-50,3222,
595,Skyworks Solutions,5109,52.30%,1498,83.90%,8591,"21,547.50",95,10945,
596,Endeavor Group Holdings,5078,46.00%,-297,,11435,"20,363.10",78,7700,
597,Twitter,5078,36.60%,-221,,14060,"30,976.80",50,7500,
598,Leggett & Platt,5073,18.50%,402,62.50%,5307,"4,659.00",,20300,
599,Western Union,5071,4.90%,806,8.30%,8824,"7,374.70",-58,10500,
600,PerkinElmer,5067,34.00%,943,29.60%,15001,"22,009.40",39,16700,
601,SS&C Technologies Holdings,5051,8.20%,800,28.00%,17333,"19,235.10",-49,24900,
602,CUNA Mutual Group,5050,24.70%,622,327.70%,44345,,13,4100,
603,FMC,5045,8.70%,737,33.50%,10581,"16,563.80",-48,6400,
604,Carlisle,5030,18.50%,422,31.70%,7247,"12,804.50",-5,11250,
605,American Eagle Outfitters,5011,33.30%,420,,3787,"2,836.60",37,24000,
606,Core & Main,5004,37.40%,166,348.60%,4434,"5,948.80",,4100,
607,Vertiv Holdings,4998,14.40%,120,,6940,"5,263.90",-17,24000,
608,Broadridge Financial Solutions,4994,10.30%,548,18.40%,8120,"18,182.70",-40,13704,
609,Ingles Markets,4988,8.20%,250,39.80%,2018,"1,691.40",-50,18460,
610,TPG,4976,135.30%,2181,198.10%,8962,"9,304.90",,1013,
611,Insperity,4973,16.00%,124,-10.20%,1753,"3,849.80",-14,3600,
612,Howmet Aerospace,4972,-5.50%,258,-1.10%,10219,"15,055.40",-105,19900,
613,R.R. Donnelley & Sons,4964,-8.10%,4,-96.20%,3131,,-114,32000,
614,Keysight Technologies,4941,17.10%,894,42.60%,7781,"28,746.60",-13,14300,
615,Tempur Sealy International,4931,34.10%,625,79.00%,4323,"4,997.70",37,12000,
616,Scotts Miracle-Gro,4925,19.20%,513,32.30%,4800,"6,834.60",-9,8050,
617,Equifax,4924,19.30%,744,43.10%,11041,"29,141.80",-9,12700,
618,Kelly Services,4910,8.70%,156,,2894,856,-47,7400,
619,NiSource,4900,4.70%,585,,24157,"12,891.20",-70,7307,
620,OneMain Holdings,4895,-,1314,80.00%,22079,"6,042.80",-84,8800,
621,DoorDash,4888,69.40%,-468,,6809,"40,830.30",148,8600,
622,Avient,4819,48.60%,231,75.40%,4997,"4,388.40",80,8700,
623,Sanderson Farms,4800,34.70%,455,1509.60%,2345,"4,185.40",39,17662,
624,TransDigm Group,4798,-7.40%,680,-2.70%,19315,"36,135.80",-108,13300,
625,Stifel Financial,4783,25.30%,825,63.80%,34050,"7,226.00",8,8600,
626,JELD-WEN Holding,4772,12.70%,169,84.30%,3739,"1,826.00",-26,24700,
627,Ares Management,4771,122.80%,409,168.70%,21605,"23,821.10",,2100,
628,Elanco Animal Health,4765,45.60%,-472,,16483,"12,345.40",71,9800,
629,Prologis,4759,7.20%,2940,98.40%,58486,"119,524.50",-45,2053,
630,Welltower,4742,3.00%,336,-65.70%,34910,"43,001.50",-69,464,
631,Darling Ingredients,4741,32.70%,651,119.30%,6134,"12,987.40",29,9900,
632,Juniper Networks,4735,6.50%,253,-2.00%,8887,"11,986.60",-50,10191,
633,Gartner,4734,15.50%,794,197.50%,7416,"24,477.20",-21,16600,
634,Par Pacific Holdings,4710,50.70%,-81,,2570,783.3,91,1336,
635,Hubbell,4704,12.40%,400,13.80%,5282,"9,959.60",-33,18300,
636,CME Group,4690,-4.00%,2636,25.20%,196780,"85,492.30",-99,3480,
637,Nexstar Media Group,4648,3.30%,835,2.90%,13265,"7,728.30",-61,11817,
638,Tutor Perini,4642,-12.70%,92,-15.20%,4725,551.8,-135,7800,
639,Antero Resources,4619,32.30%,-187,,13897,"9,608.00",33,519,
640,Teledyne Technologies,4614,49.50%,445,10.80%,14430,"22,102.90",92,14500,
641,Snap-on,4602,16.70%,821,30.90%,6760,"10,976.10",-18,12800,
642,Rent-A-Center,4584,62.90%,135,-35.20%,2993,"1,486.90",138,14290,
643,Covetrus,4575,5.40%,-54,,3410,"2,319.30",-50,4873,
644,Crestwood Equity Partners,4569,102.70%,-79,,4446,"2,931.50",260,645,
645,Louisiana-Pacific,4553,63.30%,1377,176.00%,2194,"5,344.10",142,4800,
646,Urban Outfitters,4549,31.90%,311,25030.70%,3791,"2,421.40",32,16330,
647,Penn Mutual Life Insurance,4546,22.80%,523,82.20%,44191,,2,3194,
648,Amerco,4542,14.20%,611,38.20%,14652,"11,704.70",-28,22052,
649,TriNet Group,4540,12.50%,338,24.30%,3309,"6,482.50",-31,2800,
650,Sentry Insurance Group,4526,26.20%,740,266.70%,23881,,8,4064,
651,Illumina,4526,39.70%,762,16.20%,15217,"54,855.80",55,10775,
652,Iron Mountain,4492,8.30%,450,31.40%,14450,"16,059.50",-47,25000,
653,LCI Industries,4473,60.00%,288,81.60%,3288,"2,624.50",131,13900,
654,Marvell Technology,4462,50.30%,-421,,22109,"60,795.70",,6712,
655,PennyMac Financial Services,4450,-1.90%,1004,-39.10%,18777,"2,948.50",-88,7208,
656,Digital Realty Trust,4428,13.40%,1709,379.60%,36370,"40,337.70",-29,3030,
657,TreeHouse Foods,4406,-3.60%,-13,-190.60%,5207,"1,800.00",-93,10000,
658,Ralph Lauren,4401,-28.60%,-121,-131.50%,7888,"8,073.20",-208,16200,
659,Mattress Firm Group,4393,34.90%,-165,-231.40%,3539,,,8900,
660,American National Group,4392,15.80%,699,49.60%,31320,"5,084.10",-24,4545,
661,Autodesk,4386,15.70%,497,-58.90%,8607,"46,580.00",-24,12600,
662,Domino's Pizza,4357,5.80%,511,3.90%,1672,"14,665.90",-52,10450,
663,ASGN,4334,9.70%,410,104.60%,3503,"6,022.20",-41,3900,
664,Flowers Foods,4331,-1.30%,206,35.40%,3253,"5,438.60",-76,8900,
